"SA - media.nypl.org"

"Custom View: 1/1/07 - 12/11/09"
"2007-01-01 00:00:00","2009-12-11 23:59:59"


"Downloaded Files"
,"Downloaded Files",HRef,"Downloads","% Downloads","Visits"
14,"http://media.nypl.org/Orwell_11_7_07/Orwell_11_7_07pt1.mp3","http://media.nypl.org/Orwell_11_7_07/Orwell_11_7_07pt1.mp3",2783,0.01025,1496
15,"http://media.nypl.org/live/antunes_9_23_08.mp3","http://media.nypl.org/live/antunes_9_23_08.mp3",2638,0.00971,1618
16,"http://media.nypl.org/Blindspot_11_3_07/Blindspot_11_3_07pt1.mp3","http://media.nypl.org/Blindspot_11_3_07/Blindspot_11_3_07pt1.mp3",2586,0.00952,1885
17,"http://media.nypl.org/Tippett_Brown_1_29_08/Tippett_Brown_1_29_08.mp3","http://media.nypl.org/Tippett_Brown_1_29_08/Tippett_Brown_1_29_08.mp3",2563,0.00944,1644
18,"http://media.nypl.org/Pamuk/Orhan_Pamuk.mp3","http://media.nypl.org/Pamuk/Orhan_Pamuk.mp3",2502,0.00921,1351
19,"http://media.nypl.org/live/remix_2_26_09.mp3","http://media.nypl.org/live/remix_2_26_09.mp3",2498,0.0092,1563
20,"http://media.nypl.org/baldwin_3_18_08/baldwin_3_18_08.mp3","http://media.nypl.org/baldwin_3_18_08/baldwin_3_18_08.mp3",2490,0.00917,1261
21,"http://media.nypl.org/live/mendelsohn_wood_9_17_08.mp3","http://media.nypl.org/live/mendelsohn_wood_9_17_08.mp3",2489,0.00917,1130
22,"http://media.nypl.org/Kalman_10_23_07/Kalman_10_23_07.mp3","http://media.nypl.org/Kalman_10_23_07/Kalman_10_23_07.mp3",2483,0.00914,1788
23,"http://media.nypl.org/Orwell_11_7_07/Orwell_11_7_07pt2.mp3","http://media.nypl.org/Orwell_11_7_07/Orwell_11_7_07pt2.mp3",2482,0.00914,1428
24,"http://media.nypl.org/eugenedies_5_4_08/eugenedies_5_4_08.mp3","http://media.nypl.org/eugenedies_5_4_08/eugenedies_5_4_08.mp3",2337,0.00861,1279
25,"http://media.nypl.org/audio/live_2009_11_09_anderson_baumbach.mp3","http://media.nypl.org/audio/live_2009_11_09_anderson_baumbach.mp3",2308,0.0085,442
26,"http://media.nypl.org/live/auster_curiol_9_24_08.mp3","http://media.nypl.org/live/auster_curiol_9_24_08.mp3",2262,0.00833,1126
27,"http://media.nypl.org/Blindspot_11_3_07/Blindspot_11_3_07pt2.mp3","http://media.nypl.org/Blindspot_11_3_07/Blindspot_11_3_07pt2.mp3",2247,0.00827,1737
28,"http://media.nypl.org/esterhazy_5_4_08/esterhazy_5_4_08.mp3","http://media.nypl.org/esterhazy_5_4_08/esterhazy_5_4_08.mp3",2214,0.00815,1166
29,"http://media.nypl.org/Burns_9_27_07/Burns_9_27_07.mp3","http://media.nypl.org/Burns_9_27_07/Burns_9_27_07.mp3",2205,0.00812,1434
30,"http://media.nypl.org/mccann_ondaatje_5_4_08/mccann_ondaatje_5_4_08.mp3","http://media.nypl.org/mccann_ondaatje_5_4_08/mccann_ondaatje_5_4_08.mp3",2194,0.00808,1280
31,"http://media.nypl.org/against_the_machine_4_10_08/against_the_machine_4_10_08.mp3","http://media.nypl.org/against_the_machine_4_10_08/against_the_machine_4_10_08.mp3",2186,0.00805,1185
32,"http://media.nypl.org/live/achatz_10_29_08.mp3","http://media.nypl.org/live/achatz_10_29_08.mp3",2148,0.00791,1429
33,"http://media.nypl.org/Klein_9_24_07/Klein_9_24_07.mp3","http://media.nypl.org/Klein_9_24_07/Klein_9_24_07.mp3",2099,0.00773,1289
34,"http://media.nypl.org/fuller_goldman_joris_malan_zyl_5_4_08/fuller_goldman_joris_malan_zyl_5_4_08.mp3","http://media.nypl.org/fuller_goldman_joris_malan_zyl_5_4_08/fuller_goldman_joris_malan_zyl_5_4_08.mp3",2078,0.00765,1189
35,"http://media.nypl.org/live/what_happens_now_11_10_08.mp3","http://media.nypl.org/live/what_happens_now_11_10_08.mp3",2067,0.00761,880
36,"http://media.nypl.org/Orwell_11_7_07/Orwell_11_7_07pt3.mp3","http://media.nypl.org/Orwell_11_7_07/Orwell_11_7_07pt3.mp3",2026,0.00746,1238
37,"http://media.nypl.org/Phillips_11_12_07/Phillips_11_12_07.mp3","http://media.nypl.org/Phillips_11_12_07/Phillips_11_12_07.mp3",2019,0.00744,1286
38,"http://media.nypl.org/Nadas_11_9_07/Nadas_11_9_07.mp3","http://media.nypl.org/Nadas_11_9_07/Nadas_11_9_07.mp3",2001,0.00737,1170
39,"http://media.nypl.org/Kristof_11_30_07/Kristof_11_30_07.mp3","http://media.nypl.org/Kristof_11_30_07/Kristof_11_30_07.mp3",1977,0.00728,1244
40,"http://media.nypl.org/Kunkel_10_30_07/Kunkel_10_30_07.mp3","http://media.nypl.org/Kunkel_10_30_07/Kunkel_10_30_07.mp3",1976,0.00728,1272
41,"http://media.nypl.org/war_and_peace_10_18_07/war_and_peace.mp3","http://media.nypl.org/war_and_peace_10_18_07/war_and_peace.mp3",1973,0.00727,1211
42,"http://media.nypl.org/live/eminent_domain_6_18_08.mp3","http://media.nypl.org/live/eminent_domain_6_18_08.mp3",1966,0.00724,1182
43,"http://media.nypl.org/Moth_10_12_07/Moth_10_12_07_pt1.mp3","http://media.nypl.org/Moth_10_12_07/Moth_10_12_07_pt1.mp3",1952,0.00719,1210
44,"http://media.nypl.org/live/morrison_lebowitz_11_12_08.mp3","http://media.nypl.org/live/morrison_lebowitz_11_12_08.mp3",1927,0.0071,886
45,"http://media.nypl.org/baker_3_20_08/baker_3_20_08.mp3","http://media.nypl.org/baker_3_20_08/baker_3_20_08.mp3",1916,0.00706,1270
46,"http://media.nypl.org/archive_fever_4_14_08/archive_fever_4_14_08.mp3","http://media.nypl.org/archive_fever_4_14_08/archive_fever_4_14_08.mp3",1887,0.00695,1250
47,"http://media.nypl.org/audio/live_2009_10_28_glass.mp3","http://media.nypl.org/audio/live_2009_10_28_glass.mp3",1865,0.00687,940
48,"http://media.nypl.org/Moth_10_12_07/Moth_10_12_07_pt2.mp3","http://media.nypl.org/Moth_10_12_07/Moth_10_12_07_pt2.mp3",1823,0.00671,1093
49,"http://media.nypl.org/periodically_speaking/periodically_speaking_12_9_08.mp3","http://media.nypl.org/periodically_speaking/periodically_speaking_12_9_08.mp3",1803,0.00664,454
50,"http://media.nypl.org/Nooteboom_11_19_07/Nooteboom_11_19_07.mp3","http://media.nypl.org/Nooteboom_11_19_07/Nooteboom_11_19_07.mp3",1803,0.00664,1186
51,"http://media.nypl.org/supporters/robinson_vaid_11_18_08.mp3","http://media.nypl.org/supporters/robinson_vaid_11_18_08.mp3",1755,0.00646,1255
52,"http://media.nypl.org/Geary_10_9_07/Geary_10_9_07.mp3","http://media.nypl.org/Geary_10_9_07/Geary_10_9_07.mp3",1754,0.00646,1109
53,"http://media.nypl.org/gourevitch_5_13_08/gourevitch_5_13_08.mp3","http://media.nypl.org/gourevitch_5_13_08/gourevitch_5_13_08.mp3",1753,0.00646,1092
54,"http://media.nypl.org/kurnaz_4_4_08/kurnaz_4_4_08.mp3","http://media.nypl.org/kurnaz_4_4_08/kurnaz_4_4_08.mp3",1729,0.00637,1111
55,"http://media.nypl.org/live/live_boom_4_14_09.mp3","http://media.nypl.org/live/live_boom_4_14_09.mp3",1726,0.00636,816
56,"http://media.nypl.org/edible_estates_3_7_08/edible_estates_3_7_08.mp3","http://media.nypl.org/edible_estates_3_7_08/edible_estates_3_7_08.mp3",1712,0.0063,1115
57,"http://media.nypl.org/schlink_5_4_08/schlink_5_4_08.mp3","http://media.nypl.org/schlink_5_4_08/schlink_5_4_08.mp3",1670,0.00615,1076
58,"http://media.nypl.org/live/video/remix_2_26_09.mp4","http://media.nypl.org/live/video/remix_2_26_09.mp4",1665,0.00613,1381
59,"http://media.nypl.org/video/live_2009_06_09_islam_part1.mp4","http://media.nypl.org/video/live_2009_06_09_islam_part1.mp4",1633,0.00601,318
60,"http://media.nypl.org/live/badinter_katyal_9_19_08.mp3","http://media.nypl.org/live/badinter_katyal_9_19_08.mp3",1625,0.00598,930
61,"http://media.nypl.org/Fashion_10_15_07/Fashion_10_15_07.MP3","http://media.nypl.org/Fashion_10_15_07/Fashion_10_15_07.MP3",1614,0.00594,1055
62,"http://media.nypl.org/Power_2_21_08/Power_2_21_08.mp3","http://media.nypl.org/Power_2_21_08/Power_2_21_08.mp3",1590,0.00586,1058
63,"http://media.nypl.org/live/ofaolain_6_24_08.mp3","http://media.nypl.org/live/ofaolain_6_24_08.mp3",1580,0.00582,1002
64,"http://media.nypl.org/live/live_12_1_08.mp3","http://media.nypl.org/live/live_12_1_08.mp3",1577,0.00581,796
65,"http://media.nypl.org/Cullman/julia_child_10_10_07.mp3","http://media.nypl.org/Cullman/julia_child_10_10_07.mp3",1577,0.00581,804
66,"http://media.nypl.org/live/adria_kummer_mcgee_10_10_08.mp3","http://media.nypl.org/live/adria_kummer_mcgee_10_10_08.mp3",1572,0.00579,814
67,"http://media.nypl.org/audio/live_2007_05_04_side_effects.MP3","http://media.nypl.org/audio/live_2007_05_04_side_effects.MP3",1542,0.00568,425
68,"http://media.nypl.org/Martins_12_6_07/Martins_12_6_07.mp3","http://media.nypl.org/Martins_12_6_07/Martins_12_6_07.mp3",1531,0.00564,753
69,"http://media.nypl.org/live/dead_10_27_08.mp3","http://media.nypl.org/live/dead_10_27_08.mp3",1478,0.00544,664
70,"http://media.nypl.org/live/live_2009_05_20_darwin.mp3","http://media.nypl.org/live/live_2009_05_20_darwin.mp3",1458,0.00537,955
71,"http://media.nypl.org/lpa/boyd_6_20_08.mp3","http://media.nypl.org/lpa/boyd_6_20_08.mp3",1456,0.00536,686
72,"http://media.nypl.org/audio/live_2009_06_11_islam_part5.mp3","http://media.nypl.org/audio/live_2009_06_11_islam_part5.mp3",1438,0.0053,408
73,"http://media.nypl.org/periodically_speaking/periodically_speaking_5_13_08.mp3","http://media.nypl.org/periodically_speaking/periodically_speaking_5_13_08.mp3",1389,0.00512,773
74,"http://media.nypl.org/live/video/live_2009_05_20_darwin.mp4","http://media.nypl.org/live/video/live_2009_05_20_darwin.mp4",1380,0.00508,503
75,"http://media.nypl.org/live/lee_mcbride_9_26_08.mp3","http://media.nypl.org/live/lee_mcbride_9_26_08.mp3",1378,0.00507,808
76,"http://media.nypl.org/teenlink_audio/96th_st_branch/3_pay_day.mp3","http://media.nypl.org/teenlink_audio/96th_st_branch/3_pay_day.mp3",1370,0.00505,722
77,"http://media.nypl.org/lpa/remembering_uta_9_18_08.mp3","http://media.nypl.org/lpa/remembering_uta_9_18_08.mp3",1307,0.00481,607
78,"http://media.nypl.org/kids/elkind_4_5_08.mp3","http://media.nypl.org/kids/elkind_4_5_08.mp3",1288,0.00474,1200
79,"http://media.nypl.org/audio/live_2009_06_11_islam_part4.mp3","http://media.nypl.org/audio/live_2009_06_11_islam_part4.mp3",1283,0.00472,524
80,"http://media.nypl.org/teenlink_audio/96th_st_branch/4_all_eyes_on_me.mp3","http://media.nypl.org/teenlink_audio/96th_st_branch/4_all_eyes_on_me.mp3",1251,0.00461,764
81,"http://media.nypl.org/lpa/shaffer_10_15_01.mp3","http://media.nypl.org/lpa/shaffer_10_15_01.mp3",1242,0.00457,598
82,"http://media.nypl.org/live/rust_hills_tribute_11_14_08.mp3","http://media.nypl.org/live/rust_hills_tribute_11_14_08.mp3",1224,0.00451,700
83,"http://media.nypl.org/live/shields_stone_diaries_11_13_08.mp3","http://media.nypl.org/live/shields_stone_diaries_11_13_08.mp3",1176,0.00433,621
84,"http://media.nypl.org/audio/live_2009_06_10_islam_part3.mp3","http://media.nypl.org/audio/live_2009_06_10_islam_part3.mp3",1151,0.00424,413
85,"http://media.nypl.org/audio/live_2009_06_10_islam_part2.mp3","http://media.nypl.org/audio/live_2009_06_10_islam_part2.mp3",1145,0.00422,390
86,"http://media.nypl.org/audio/live_2009_06_08_work.mp3","http://media.nypl.org/audio/live_2009_06_08_work.mp3",1121,0.00413,611
87,"http://media.nypl.org/teenlink_audio/muhlenberg/3_Anger_Management.mp3","http://media.nypl.org/teenlink_audio/muhlenberg/3_Anger_Management.mp3",1119,0.00412,655
88,"http://media.nypl.org/live/070507/070507.ra","http://media.nypl.org/live/070507/070507.ra",1118,0.00412,165
89,"http://media.nypl.org/Cullman/whales_part2_4_19_08.mp3","http://media.nypl.org/Cullman/whales_part2_4_19_08.mp3",1089,0.00401,441
90,"http://media.nypl.org/live/dracula_10_30_08.mp3","http://media.nypl.org/live/dracula_10_30_08.mp3",1043,0.00384,606
91,"http://media.nypl.org/Cullman/whales_part1_4_19_08.mp3","http://media.nypl.org/Cullman/whales_part1_4_19_08.mp3",1022,0.00376,479
92,"http://media.nypl.org/video/live_2009_10_08_cognitive_gelb.mp4","http://media.nypl.org/video/live_2009_10_08_cognitive_gelb.mp4",1013,0.00373,61
93,"http://media.nypl.org/Richardson_1_24_08/Richardson_1_24_08.mp3","http://media.nypl.org/Richardson_1_24_08/Richardson_1_24_08.mp3",1008,0.00371,672
94,"http://media.nypl.org/theology_5_5_08/theology_5_5_08.mp3","http://media.nypl.org/theology_5_5_08/theology_5_5_08.mp3",1005,0.0037,632
95,"http://media.nypl.org/live/video/live_boom_4_14_09.mp4","http://media.nypl.org/live/video/live_boom_4_14_09.mp4",973,0.00358,535
96,"http://media.nypl.org/periodically_speaking/periodically_speaking_10_9_07.mp3","http://media.nypl.org/periodically_speaking/periodically_speaking_10_9_07.mp3",946,0.00348,579
97,"http://media.nypl.org/Gingrich_11_1_07/Gingrich_11_1_07.mp3","http://media.nypl.org/Gingrich_11_1_07/Gingrich_11_1_07.mp3",931,0.00343,697
98,"http://media.nypl.org/live/holocaust_3_3_09.mp3","http://media.nypl.org/live/holocaust_3_3_09.mp3",900,0.00331,548
99,"http://media.nypl.org/periodically_speaking/periodically_speaking_6_10_08.mp3","http://media.nypl.org/periodically_speaking/periodically_speaking_6_10_08.mp3",899,0.00331,496
100,"http://media.nypl.org/live/live_gehry_2009_05_11.mp3","http://media.nypl.org/live/live_gehry_2009_05_11.mp3",885,0.00326,588
101,"http://media.nypl.org/periodically_speaking/periodically_speaking_4_14_09.mp3","http://media.nypl.org/periodically_speaking/periodically_speaking_4_14_09.mp3",881,0.00324,549
102,"http://media.nypl.org/lpa/battle_cry_freedom.mp3","http://media.nypl.org/lpa/battle_cry_freedom.mp3",863,0.00318,714
103,"http://media.nypl.org/Cullman/michaels_10_27_07.mp3","http://media.nypl.org/Cullman/michaels_10_27_07.mp3",855,0.00315,474
104,"http://media.nypl.org/periodically_speaking/periodically_speaking_4_8_08.mp3","http://media.nypl.org/periodically_speaking/periodically_speaking_4_8_08.mp3",849,0.00313,499
105,"http://media.nypl.org/Cullman/morris_lesser_5_5_08.mp3","http://media.nypl.org/Cullman/morris_lesser_5_5_08.mp3",848,0.00312,531
106,"http://media.nypl.org/Cullman/white_oates_10_16_07.mp3","http://media.nypl.org/Cullman/white_oates_10_16_07.mp3",807,0.00297,489
107,"http://media.nypl.org/Cullman/oconnor_mccann_11_14_07.mp3","http://media.nypl.org/Cullman/oconnor_mccann_11_14_07.mp3",783,0.00288,474
108,"http://media.nypl.org/Cullman/fresh_takes_4_21_08.mp3","http://media.nypl.org/Cullman/fresh_takes_4_21_08.mp3",781,0.00288,476
109,"http://media.nypl.org/periodically_speaking/periodically_speaking_11_4_08.mp3","http://media.nypl.org/periodically_speaking/periodically_speaking_11_4_08.mp3",772,0.00284,376
110,"http://media.nypl.org/supporters/conservators_10_07_08.mp3","http://media.nypl.org/supporters/conservators_10_07_08.mp3",763,0.00281,178
111,"http://media.nypl.org/live/live_dada_4_13_09.mp3","http://media.nypl.org/live/live_dada_4_13_09.mp3",763,0.00281,471
112,"http://media.nypl.org/Cullman/lost_spy_9_24_08.mp3","http://media.nypl.org/Cullman/lost_spy_9_24_08.mp3",724,0.00267,426
113,"http://media.nypl.org/live/video/live_imagining_india_3_23_09.mp4","http://media.nypl.org/live/video/live_imagining_india_3_23_09.mp4",711,0.00262,270
114,"http://media.nypl.org/live/live_black_nationalism_4_9_09.mp3","http://media.nypl.org/live/live_black_nationalism_4_9_09.mp3",710,0.00261,478
115,"http://media.nypl.org/audio/live_2009_12_08_velvet_underground.mp3","http://media.nypl.org/audio/live_2009_12_08_velvet_underground.mp3",701,0.00258,112
116,"http://media.nypl.org/audio/live_2009_06_09_islam_part1.mp3","http://media.nypl.org/audio/live_2009_06_09_islam_part1.mp3",670,0.00247,460
117,"http://media.nypl.org/wilentz_3_6_08/wilentz_3_6_08.mp3","http://media.nypl.org/wilentz_3_6_08/wilentz_3_6_08.mp3",661,0.00243,426
118,"http://media.nypl.org/lpa/lincoln_2_5_09.mp3","http://media.nypl.org/lpa/lincoln_2_5_09.mp3",648,0.00239,348
119,"http://media.nypl.org/audio/live_2009_09_21_sacks.mp3","http://media.nypl.org/audio/live_2009_09_21_sacks.mp3",645,0.00238,501
120,"http://media.nypl.org/live/live_2009_05_30_arab.mp3","http://media.nypl.org/live/live_2009_05_30_arab.mp3",630,0.00232,445
121,"http://media.nypl.org/audio/live_2009_10_09_forsythe_noe.mp3","http://media.nypl.org/audio/live_2009_10_09_forsythe_noe.mp3",620,0.00228,188
122,"http://media.nypl.org/audio/live_2009_09_24_solnit_coyote.mp3","http://media.nypl.org/audio/live_2009_09_24_solnit_coyote.mp3",617,0.00227,284
123,"http://media.nypl.org/lpa/aura_lee.mp3","http://media.nypl.org/lpa/aura_lee.mp3",617,0.00227,440
124,"http://media.nypl.org/live/live_india_3_23_09.mp3","http://media.nypl.org/live/live_india_3_23_09.mp3",589,0.00217,589
125,"http://media.nypl.org/teenlink_audio/jefferson_market/7_Wrap_Up.mp3","http://media.nypl.org/teenlink_audio/jefferson_market/7_Wrap_Up.mp3",583,0.00215,489
126,"http://media.nypl.org/audio/live_2009_04_24_cosmic_war.mp3","http://media.nypl.org/audio/live_2009_04_24_cosmic_war.mp3",572,0.00211,288
127,"http://media.nypl.org/spring_luncheon_4_9_08/spring_luncheon_4_9_08.mp3","http://media.nypl.org/spring_luncheon_4_9_08/spring_luncheon_4_9_08.mp3",566,0.00208,392
128,"http://media.nypl.org/live/video/updike_3_19_09.mp4","http://media.nypl.org/live/video/updike_3_19_09.mp4",565,0.00208,446
129,"http://media.nypl.org/cullman/cullman_mumbai_4_7_09.mp3","http://media.nypl.org/cullman/cullman_mumbai_4_7_09.mp3",550,0.00203,326
130,"http://media.nypl.org/teenlink_audio/125_street/2_Girls_Wanna_Fight.mp3","http://media.nypl.org/teenlink_audio/125_street/2_Girls_Wanna_Fight.mp3",549,0.00202,470
131,"http://media.nypl.org/audio/live_2008_03_12_zizek.mp3","http://media.nypl.org/audio/live_2008_03_12_zizek.mp3",547,0.00201,373
132,"http://media.nypl.org/cullman/blount_10_23_08.mp3","http://media.nypl.org/cullman/blount_10_23_08.mp3",530,0.00195,321
133,"http://media.nypl.org/teenlink_audio/jefferson_market/2_Food_for_Thought.mp3","http://media.nypl.org/teenlink_audio/jefferson_market/2_Food_for_Thought.mp3",530,0.00195,457
134,"http://media.nypl.org/teenlink_audio/muhlenberg/1_Intro.mp3","http://media.nypl.org/teenlink_audio/muhlenberg/1_Intro.mp3",523,0.00193,470
135,"http://media.nypl.org/Cullman/cullman_tycoon_04_30_09.mp3","http://media.nypl.org/Cullman/cullman_tycoon_04_30_09.mp3",523,0.00193,307
136,"http://media.nypl.org/Cullman/quenelles_10_15_08.mp3","http://media.nypl.org/Cullman/quenelles_10_15_08.mp3",522,0.00192,313
137,"http://media.nypl.org/periodically_speaking/periodically_speaking_2009_05_12.mp3","http://media.nypl.org/periodically_speaking/periodically_speaking_2009_05_12.mp3",522,0.00192,310
138,"http://media.nypl.org/teenlink_audio/125_street/1_Intro.mp3","http://media.nypl.org/teenlink_audio/125_street/1_Intro.mp3",519,0.00191,467
139,"http://media.nypl.org/audio/live_2009_11_03_capitalism.mp3","http://media.nypl.org/audio/live_2009_11_03_capitalism.mp3",505,0.00186,401
140,"http://media.nypl.org/teenlink_audio/jefferson_market/5_My_Fantasy_Library.mp3","http://media.nypl.org/teenlink_audio/jefferson_market/5_My_Fantasy_Library.mp3",483,0.00178,430
141,"http://media.nypl.org/poetry_4_7_08/poetry_4_7_08.mp3","http://media.nypl.org/poetry_4_7_08/poetry_4_7_08.mp3",482,0.00178,313
142,"http://media.nypl.org/teenlink_audio/125_street/7_Wrap_Up.mp3","http://media.nypl.org/teenlink_audio/125_street/7_Wrap_Up.mp3",482,0.00178,410
143,"http://media.nypl.org/Cullman/cullman_who_evangelical_3_11_09.mp3","http://media.nypl.org/Cullman/cullman_who_evangelical_3_11_09.mp3",481,0.00177,258
144,"http://media.nypl.org/teenlink_audio/125_street/3_Boys_Playing_Girls.mp3","http://media.nypl.org/teenlink_audio/125_street/3_Boys_Playing_Girls.mp3",480,0.00177,432
145,"http://media.nypl.org/teenlink_audio/jefferson_market/3_Gaming_Rocks.mp3","http://media.nypl.org/teenlink_audio/jefferson_market/3_Gaming_Rocks.mp3",476,0.00175,435
146,"http://media.nypl.org/video/live_2009_06_08_work.mp4","http://media.nypl.org/video/live_2009_06_08_work.mp4",475,0.00175,289
147,"http://media.nypl.org/Cullman/cullman_new_evangelical_3_25_09.mp3","http://media.nypl.org/Cullman/cullman_new_evangelical_3_25_09.mp3",473,0.00174,257
148,"http://media.nypl.org/teenlink_audio/125_street/4_What_Ghetto_Means.mp3","http://media.nypl.org/teenlink_audio/125_street/4_What_Ghetto_Means.mp3",472,0.00174,425
149,"http://media.nypl.org/teenlink_audio/125_street/5_Racism_and_Slurs.mp3","http://media.nypl.org/teenlink_audio/125_street/5_Racism_and_Slurs.mp3",471,0.00173,426
150,"http://media.nypl.org/conservators_4_23_08/conservators_4_23_08.mp3","http://media.nypl.org/conservators_4_23_08/conservators_4_23_08.mp3",470,0.00173,356
151,"http://media.nypl.org/teenlink_audio/jefferson_market/4_What_I_Hate.mp3","http://media.nypl.org/teenlink_audio/jefferson_market/4_What_I_Hate.mp3",469,0.00173,419
152,"http://media.nypl.org/teenlink_audio/muhlenberg/5_Wrap_Up.mp3","http://media.nypl.org/teenlink_audio/muhlenberg/5_Wrap_Up.mp3",466,0.00172,416
153,"http://media.nypl.org/teenlink_audio/jefferson_market/1_Intro.mp3","http://media.nypl.org/teenlink_audio/jefferson_market/1_Intro.mp3",465,0.00171,416
154,"http://media.nypl.org/teenlink_audio/jefferson_market/6_Defining_Me.mp3","http://media.nypl.org/teenlink_audio/jefferson_market/6_Defining_Me.mp3",464,0.00171,410
155,"http://media.nypl.org/Cullman/cullman_religious_right_3_18_09.mp3","http://media.nypl.org/Cullman/cullman_religious_right_3_18_09.mp3",458,0.00169,251
156,"http://media.nypl.org/teenlink_audio/teen_central/2_Memories_of_Teen_Central.mp3","http://media.nypl.org/teenlink_audio/teen_central/2_Memories_of_Teen_Central.mp3",457,0.00168,387
157,"http://media.nypl.org/cullman/cullman_2009_05_27_senna_walker.mp3","http://media.nypl.org/cullman/cullman_2009_05_27_senna_walker.mp3",456,0.00168,281
158,"http://media.nypl.org/teenlink_audio/96th_st_branch/1_intro.mp3","http://media.nypl.org/teenlink_audio/96th_st_branch/1_intro.mp3",451,0.00166,412
159,"http://media.nypl.org/teenlink_audio/125_street/6_Confidence_plus_Beauty.mp3","http://media.nypl.org/teenlink_audio/125_street/6_Confidence_plus_Beauty.mp3",447,0.00165,410
160,"http://media.nypl.org/teenlink_audio/muhlenberg/4_Charity.mp3","http://media.nypl.org/teenlink_audio/muhlenberg/4_Charity.mp3",442,0.00163,405
161,"http://media.nypl.org/nyplchannel/bernstein_2009_05_06_mayer.mp3","http://media.nypl.org/nyplchannel/bernstein_2009_05_06_mayer.mp3",438,0.00161,256
162,"http://media.nypl.org/teenlink_audio/teen_central/5_Wrap_Up.mp3","http://media.nypl.org/teenlink_audio/teen_central/5_Wrap_Up.mp3",427,0.00157,395
163,"http://media.nypl.org/teenlink_audio/teen_central/1_Intro.mp3","http://media.nypl.org/teenlink_audio/teen_central/1_Intro.mp3",427,0.00157,399
164,"http://media.nypl.org/audio/24hours_2002_10_08_cohen_rakoff.mp3","http://media.nypl.org/audio/24hours_2002_10_08_cohen_rakoff.mp3",423,0.00156,137
165,"http://media.nypl.org/teenlink_audio/teen_central/3_The_Goodbye_Party.mp3","http://media.nypl.org/teenlink_audio/teen_central/3_The_Goodbye_Party.mp3",421,0.00155,389
166,"http://media.nypl.org/teenlink_audio/muhlenberg/2_Questioning.mp3","http://media.nypl.org/teenlink_audio/muhlenberg/2_Questioning.mp3",421,0.00155,388
167,"http://media.nypl.org/teenlink_audio/teen_central/4_Smells_Like_Teen_Central_Spirit.mp3","http://media.nypl.org/teenlink_audio/teen_central/4_Smells_Like_Teen_Central_Spirit.mp3",416,0.00153,377
168,"http://media.nypl.org/teenlink_audio/96th_st_branch/2_hospital_stories.mp3","http://media.nypl.org/teenlink_audio/96th_st_branch/2_hospital_stories.mp3",412,0.00152,371
169,"http://media.nypl.org/live/video/live_2009_05_11_gehry.mp4","http://media.nypl.org/live/video/live_2009_05_11_gehry.mp4",390,0.00144,334
170,"http://media.nypl.org/lpa/tenting.mp3","http://media.nypl.org/lpa/tenting.mp3",387,0.00143,349
171,"http://media.nypl.org/friends_luncheon_4_15_08/friends_luncheon_4_15_08.mp3","http://media.nypl.org/friends_luncheon_4_15_08/friends_luncheon_4_15_08.mp3",384,0.00141,263
